Item_Id,Category,Menu_Item,Store_Name,Price,Sales_Qty,Gross_Sales,Item_Disc,Net_Sales
10004,cold beverages,Dr. Pepper,Grab n go,1.85,242,447.7,0,447.7
10006,cold beverages,Snapple 16 oz,Grab n go,1.75,316,553,0,553
10009,cold beverages,Deja Blue,Grab n go,1.75,2,3.5,0,3.5
10011,cold beverages,Pepsi,Grab n go,1.85,104,192.4,0,192.4
10013,cold beverages,Muscle Milk,Grab n go,4.09,12,49.08,0,49.08
10014,cold beverages,Powerade,Grab n go,2.15,172,369.8,0,369.8
10016,cold beverages,Coca Cola,Grab n go,1.85,567,1048.95,0,1048.95
10018,cold beverages,Gold Peak Tea,Food Court,2.15,881,1894.15,0,1894.15
10018,cold beverages,Gold Peak Tea,Grab n go,2.15,246,528.9,0,528.9
10020,cold beverages,Vitamin Water,Grab n go,2.3,56,128.8,0,128.8
10022,desserts,Core Power,Coffee Corner,3.59,138,495.42,0,495.42
10022,cold beverages,Core Power,Coffee Shop,3.59,27,96.93,0,96.93
10022,cold beverages,Core Power,Grab n go,3.59,99,355.41,0,355.41
10023,cold beverages,Dasani,Grab n go,1.95,378,737.1,0,737.1
10024,cold beverages,Dasani 1L,Grab n go,2.15,148,318.2,0,318.2
10025,cold beverages,Smart Water,Grab n go,2.3,180,414,0,414
10026,cold beverages,Smart Water 1L,Grab n go,3.35,152,509.2,0,509.2
10027,cold beverages,Frappuccino,Grab n go,2.21,7,15.47,0,15.47
10028,cold beverages,Frappuccino LG,Food Court,3.35,228,763.8,0,763.8
10028,cold beverages,Frappuccino LG,Grab n go,3.35,330,1105.5,0,1105.5
10028,cold beverages,Frappuccino LG,N Brew,3.35,118,395.3,0,395.3
10029,cold beverages,Double Shot,Food Court,3.19,188,599.72,0,599.72
10029,cold beverages,Double Shot,Grab n go,3.19,156,497.64,0,497.64
10029,cold beverages,Double Shot,N Brew,3.19,129,411.51,0,411.51
10032,desserts,Red Bull 12oz,Coffee Corner,2.99,195,583.05,0,583.05
10033,cold beverages,Monster,Food Court,2.85,1018,2901.3,0,2901.3
10033,desserts,Monster,Coffee Corner,2.85,314,894.9,0,894.9
10033,cold beverages,Monster,Grab n go,2.85,280,798,0,798
10037,cold beverages,Min. Maid,Grab n go,1.85,165,305.25,0,305.25
10039,cold beverages,Milk Pints,Grab n go,1.85,144,266.4,0,266.4
10040,cold beverages,Odwalla 15 oz,Grab n go,4.19,349,1462.31,0,1462.31
10041,cold beverages,Simply Orange,Grab n go,2.25,72,162,0,162
10046,cold beverages,Tazo Hot Tea,Grab n go,1.1,1,1.1,0,1.1
10047,cold beverages,DS Espresso,Grab n go,2.65,101,267.65,0,267.65
10047,cold beverages,DS Espresso,N Brew,2.65,19,50.35,0,50.35
10048,Entrée,Burrito,Grab n go,2.49,1196,2978.04,0,2978.04
10049,outtakes,outtakes enterpr,Pub,1.901458333,96,182.54,0,182.54
10049,outtakes,outtakes enterpr,Grab n go,3.572607216,1469,5248.16,0,5248.16
10049,outtakes,outtakes enterpr,Coffee Store/Papa John,2.694251261,4561,12288.48,-1.45,12287.03
10050,sides,Fruit cup,Grab n go,3.95,1,3.95,0,3.95
10052,hot beverages,Coffee small,Grab n go,1.8,307,552.6,0,552.6
10053,hot beverages,Coffee Med,Grab n go,2.1,210,441,-2.1,438.9
10054,hot beverages,Coffee Large,Grab n go,2.45,69,169.05,0,169.05
10055,sides,Chips,Grab n go,1.25,230,287.5,0,287.5
10060,sides,Fruit,Grab n go,0.8,427,341.6,0,341.6
10061,cold beverages,Issimo Caffe Can,Coffee Shop,3.19,8,25.52,0,25.52
10061,cold beverages,Issimo Caffe Can,Grab n go,3.19,37,118.03,0,118.03
10062,cold beverages,Illy Frap Bottle,Coffee Shop,2.99,22,65.78,0,65.78
10062,cold beverages,Illy Frap Bottle,Grab n go,2.99,88,263.12,0,263.12
30006,cold beverages,Beverage Refill,Food Court,0.75,140,105,-10.63,94.37
30006,cold beverages,Beverage Refill,Grab n go,0.75,1,0.75,0,0.75
30007,cold beverages,Pepsi,Food Court,1.85,101,186.85,0,186.85
30009,cold beverages,Ftn Drink 24oz,Food Court,1.55,1573,2438.15,-558.89,1879.26
30010,cold beverages,Ftn Drink 32oz,Food Court,1.65,1275,2103.75,-572.52,1531.23
30010,cold beverages,Ftn Drink 32oz,Grab n go,1.65,1,1.65,0,1.65
30011,cold beverages,Double Shot,Food Court,3.19,138,440.22,0,440.22
30012,cold beverages,Milk (Pint),Food Court,1.85,405,749.25,0,749.25
30013,cold beverages,Water Cup,Food Court,0.15,137,20.55,0,20.55
30016,cold beverages,Odwalla 15 oz,Food Court,4.19,338,1416.22,0,1416.22
30017,hot beverages,Coffee 12oz,Food Court,1.8,1277,2298.6,0,2298.6
30018,hot beverages,Coffee 16oz,Food Court,2.1,998,2095.8,-12.6,2083.2
30019,hot beverages,Coffee 20oz,Food Court,2.45,380,931,0,931
30022,cold beverages,Powerade,Food Court,2.15,297,638.55,0,638.55
30023,cold beverages,Vitamin Water,Food Court,2.3,142,326.6,0,326.6
30029,cold beverages,ENERGY DRINKS,Food Court,2.85,124,353.4,0,353.4
30038,cold beverages,Dr. Pepper,Food Court,1.85,487,900.95,0,900.95
30043,cold beverages,Simply Orange,Food Court,2.05,457,936.85,0,936.85
30045,cold beverages,Muscle Milk,Food Court,4.09,2,8.18,0,8.18
30048,cold beverages,Deja Blue,Food Court,1.75,1,1.75,0,1.75
30049,cold beverages,Snapple 16oz,Food Court,1.75,1284,2247,0,2247
30054,cold beverages,Odwalla 15 oz,Food Court,4.19,702,2941.38,0,2941.38
30079,cold beverages,Smart Water,Food Court,2.3,495,1138.5,0,1138.5
30081,cold beverages,Frap. Large,Food Court,3.35,175,586.25,0,586.25
30082,cold beverages,Coke,Food Court,1.85,3315,6132.75,-0.93,6131.82
30086,hot beverages,Tazo Hot Tea,Food Court,1.2,182,218.4,0,218.4
30089,cold beverages,Water 1L,Food Court,1.95,3,5.85,0,5.85
30101,cold beverages,Smart Water 1L,Food Court,3.35,331,1108.85,0,1108.85
30102,cold beverages,Ftn Drink 16.5,Food Court,1.39,568,789.52,-149.06,640.46
30105,cold beverages,Life Water,Food Court,2.15,4,8.6,0,8.6
40014,sides,Fruit,Food Court,0.8,519,415.2,0,415.2
40015,sides,Chips,Food Court,1.25,1716,2145,0,2145
40016,food,Nabisco - S,Coffee Corner,1.39,7,9.73,0,9.73
40018,desserts,Candy,Food Court,2.99,44,131.56,0,131.56
40026,snacks,$1.99 Cookies,Food Court,1.99,1079,2147.21,0,2147.21
40027,snacks,.99 Cookies,Food Court,0.99,8,7.92,0,7.92
40047,sides,Nature Valley,Food Court,1.59,325,516.75,0,516.75
40052,snacks,Brownie,Food Court,1.99,33,65.67,0,65.67
40064,sides,Gum,Food Court,1.99,238,473.62,0,473.62
40067,food,NutterButter,Coffee Corner,1.39,117,162.63,0,162.63
40068,food,Biscotti,Coffee Corner,1.75,29,50.75,0,50.75
40079,food,Vegetable Salad,Coffee Corner,2.99,38,113.62,0,113.62
40083,desserts,Bulk Candy,Coffee Corner,0.49,542,1677.41,0,1677.41
50001,entrée,CFA Sandwich,Food Court,3.09,12451,38473.59,-160.68,38312.91
50002,entrée,Chargrilled,Food Court,3.75,1263,4736.25,0,4736.25
50005,entrée,8-Nuggets,Food Court,3.09,5295,16361.55,0,16361.55
50006,entrée,12-Nuggets,Food Court,4.49,4383,19679.67,0,19679.67
50007,side,Coleslaw,Food Court,2.25,45,101.25,0,101.25
